"UrbanRural","TotalIncomeLastYear","TotalExpLastQ"
1,21216,2025.6667
1,32520,9432.8
1,120000,18841.45
1,16608,4641.4
1,38200,59185.9001
1,344386,5554.4456
1,113016,4657.3333
1,12195,2222.3333
1,30000,11672.75
2,27816,3011.6
1,83036,21448.4
1,23926,3842.6
1,120000,5153.3333
1,18072,2303
1,67407,7614.8333
1,17806,2083.8
1,46666,8006.2499
1,6000,32754.1667
1,264386,27019.3868
1,5000,8995.9999
1,38624,19508.5001
1,25500,7821.0001
1,56600,6701.3333
1,5000,1355.3333
1,20693,4002.2667
1,15000,7087.0001
1,78000,11498.75
1,10488,2768
1,17000,15881.6577
1,1935,7334.7499
1,67600,23582.35
1,32608,8184.15
1,34000,5653.1001
1,43000,11168.4
1,34000,3190.3334
1,10068,4625.9
1,30000,6273.75
1,235000,49396.5
1,50102,3035.5
1,123020,6702.4167
1,264416,12467.9
1,57013,2721.0833
2,127000,4308.3334
1,63004,11761.9
1,50688,2691.8833
1,2000,1133.0001
1,24000,4136.0499
1,41000,27162.3333
1,9001,2785.2501
1,76296,16447.8
1,35187,4464.65
1,130385,13800.6667
1,45796,3516.6
1,71416,4848.9333
1,25000,2091.75
1,114400,29697.75
1,118073,20295.1999
2,16720,3221.3333
1,27600,2187.4167
1,79000,10382.5666
1,311004,41608.7244
1,55000,7182.7999
1,60000,5854.0499
1,14400,10241.3
1,21608,5008.3
1,3996,5654.1
1,13317,1327.6
1,55015,2485.4
1,126088,9047.05
2,42316,9779.2667
1,102400,61157.3
1,42000,13340.4
1,132900,16590.75
1,19620,2001.8
1,54202,9159.5665
1,45000,7358.7501
1,61322,3350.75
1,6600,1712.25
1,246632,24545.6489
1,91200,2732.3333
1,3692,6063.8499
1,95000,9635.4333
1,36671,7540.75
1,50000,11728.5
1,2000,2495.35
1,34092,2187.8
1,67000,14725.85
1,27840,814.2166
1,139216,11356.0333
1,45000,7475.1667
1,7000,3206.5501
2,73200,3275.35
1,55000,9616.6
1,43001,2415.1667
1,136800,6850.9167
1,131808,12780.2167
1,41000,9231.2999
1,43056,2493.9333
1,1608,3113.8
1,84915,21872.0489
1,27502,1767.7167
1,145209,6942.2667
1,153008,12533.4912
1,334436,71634.5868
1,57400,12822.9334
1,52408,14476.6334
1,48719,6351.1
1,24128,5546.6666
1,30068,3662.1333
1,79480,12020.3501
1,30660,5140.4
1,62000,3047.3333
1,264386,28529.3368
1,15216,3674
1,77208,11257.4
1,192000,22345
1,69308,2063.3833
1,40000,4785
1,1932,4909
1,54208,7199.6
1,40383,5207.2667
1,117201,12337.6001
1,117000,12522.0001
1,58675,12284.2499
1,64000,8470.1333
1,36100,6588.1334
1,212000,29113.8248
1,19776,2421.9333
1,62000,22427.2002
1,63727,9982.3001
1,29484,2069.1333
